id,giscode,siteaddres,landuse,scrcog_lu,yearbuilt,decadebuilt
91,2030-019-00-0000,1678 STATE ST,Two Family M01,Residential,1956,1950s
92,2030-020-00-0000,1668 STATE ST,Three Fam M01,Residential,1920,1920s
93,2030-022-00-0000,1656 STATE ST,Two Family M01,Residential,1924,1920s
96,2030-024-00-0000,1765 STATE ST,Single Fam M01,Residential,1926,1920s
97,2030-025-00-0000,19 ATLAS ST,Two Family M01,Residential,1930,1930s
98,2030-026-00-0000,29 ATLAS ST,Single Fam M01,Residential,1952,1950s
99,2030-027-00-0000,35 ATLAS ST,Single Fam M01,Residential,1934,1930s
100,2030-029-00-0000,39 ATLAS ST,Single Fam M01,Residential,1952,1950s
101,2030-030-00-0000,32 ARMSTRONG ST,Single Fam M01,Residential,1920,1920s
102,2030-031-00-0000,26 ARMSTRONG ST,Single Fam M01,Residential,1920,1920s
103,2030-032-00-0000,22 ARMSTRONG ST,Single Fam M01,Residential,1920,1920s
104,2030-033-00-0000,12 ARMSTRONG ST,Single Fam M01,Residential,1916,1910s
105,2030-035-00-0000,1769 STATE ST,Single Fam M01,Residential,1933,1930s
106,2030-036-00-0000,1773 STATE ST,Single Fam M01,Residential,1926,1920s
107,2030-037-00-0000,1781 STATE ST,Multi Hses,Residential,1920,1920s
108,2030-038-00-0000,17 BENTON ST,Single Fam M01,Residential,1890,pre1900s
109,2030-039-00-0000,21 BENTON ST,Single Fam M01,Residential,1890,pre1900s
110,2030-040-00-0000,25 BENTON ST,Single Fam M01,Residential,1890,pre1900s
111,2030-041-00-0000,18 ATLAS ST,Single Fam M01,Residential,1966,1960s
112,2030-042-00-0000,27 BENTON ST,Three Fam M01,Residential,1900,1900s
113,2030-043-00-0000,30 ATLAS ST,Two Family M01,Residential,1920,1920s
114,2030-044-00-0000,41 BENTON ST,Two Family M01,Residential,1890,pre1900s
115,2030-045-00-0000,36 ATLAS ST,Single Fam M01,Residential,1890,pre1900s
116,2030-046-00-0000,45 BENTON ST,Single Fam M01,Residential,1890,pre1900s
117,2030-047-00-0000,51 BENTON ST,Single Fam M01,Residential,1959,1950s
118,2030-048-00-0000,240 WELTON ST,Two Family M01,Residential,1920,1920s
119,2030-050-00-0000,40 BENTON ST,Single Fam M01,Residential,1910,1910s
120,2030-051-00-0000,1 WEBB ST,Two Family M01,Residential,1920,1920s
121,2030-052-00-0000,13 WEBB ST,Two Family M01,Residential,1915,1910s
122,2030-054-00-0000,23 WEBB ST,Two Family M01,Residential,1920,1920s
123,2030-055-00-0000,27 WEBB ST,Three Fam M01,Residential,1925,1920s
124,2030-056-00-0000,33 WEBB ST,Single Fam M01,Residential,1920,1920s
125,2030-057-00-0000,39 WEBB ST,Two Family M01,Residential,1925,1920s
126,2030-058-00-0000,41 WEBB ST,Three Fam M01,Residential,1925,1920s
127,2030-059-00-0000,47 WEBB ST,Two Family M01,Residential,1985,1980s
128,2030-060-00-0000,55 WEBB ST,Single Fam M01,Residential,1965,1960s
129,2030-061-00-0000,59 WEBB ST,Two Family M01,Residential,1985,1980s
130,2030-062-00-0000,63 WEBB ST,Single Fam M01,Residential,1895,pre1900s
131,2030-063-00-0000,69 WEBB ST,Three Fam M01,Residential,1925,1920s
132,2030-064-00-0000,53 COOK ST,Two Family M01,Residential,1890,pre1900s
135,2030-067-00-0000,306 WELTON ST,Single Fam M01,Residential,1947,1940s
136,2030-068-00-0000,300 WELTON ST,Single Fam M01,Residential,1920,1920s
137,2030-069-00-0000,296 WELTON ST,Single Fam M01,Residential,1920,1920s
138,2030-070-00-0000,286 WELTON ST,Single Fam M01,Residential,1932,1930s
139,2030-072-00-0000,270 WELTON ST,Three Fam M01,Residential,1920,1920s
140,2030-075-00-0000,1793 STATE ST,Two Family M01,Residential,1926,1920s
142,2030-076-01-0000,1801 STATE ST,Single Fam M01,Residential,1926,1920s
143,2030-077-00-0000,1811 STATE ST,Single Fam M01,Residential,1926,1920s
144,2030-078-00-0000,1815 STATE ST,Two Family M01,Residential,1925,1920s
145,2030-079-00-0000,1819 STATE ST,Single Fam M01,Residential,1926,1920s
146,2030-080-00-0000,1825 STATE ST,Single Fam M01,Residential,1926,1920s
147,2030-081-00-0000,1827 STATE ST,Single Fam M01,Residential,1926,1920s
148,2030-082-00-0000,1835 STATE ST,Three Fam M01,Residential,1920,1920s
149,2030-083-00-0000,1845 STATE ST,Two Family M01,Residential,1824,pre1900s
150,2030-084-00-0000,1857 STATE ST,Three Fam M01,Residential,1928,1920s
151,2030-085-00-0000,15 COOK ST,Single Fam M01,Residential,1930,1930s
152,2030-086-00-0000,19 COOK ST,Single Fam M01,Residential,1994,1990s
153,2030-087-00-0000,68 WEBB ST,Two Family M01,Residential,1905,1900s
154,2030-088-00-0000,62 WEBB ST,Single Fam M01,Residential,1905,1900s
155,2030-089-00-0000,58 WEBB ST,Single Fam M01,Residential,1952,1950s
156,2030-090-00-0000,52 WEBB ST,SFR In-Law,Residential,1935,1930s
157,2030-091-00-0000,44 WEBB ST,Two Family M01,Residential,1980,1980s
158,2030-092-00-0000,40 WEBB ST,Two Family M01,Residential,1956,1950s
159,2030-093-00-0000,34 WEBB ST,Single Fam M01,Residential,1910,1910s
160,2030-094-00-0000,32 WEBB ST,Single Fam M01,Residential,1917,1910s
161,2030-096-00-0000,22 WEBB ST,Single Fam M01,Residential,1905,1900s
162,2030-097-00-0000,14 WEBB ST,Multi Hses,Residential,1952,1950s
163,2030-098-00-0000,26 BENTON ST,Two Family M01,Residential,1890,pre1900s
164,2030-099-00-0000,18 BENTON ST,Single Fam M01,Residential,1890,pre1900s
165,2030-100-00-0000,45 PARK RD,Single Fam M01,Residential,1940,1940s
166,2030-101-00-0000,49 PARK RD,Single Fam M01,Residential,1929,1920s
167,2030-102-00-0000,53 PARK RD,Single Fam M01,Residential,1929,1920s
168,2030-103-00-0000,59 PARK RD,Single Fam M01,Residential,1929,1920s
169,2030-104-00-0000,63 PARK RD,Single Fam M01,Residential,1941,1940s
170,2030-105-00-0000,73 PARK RD,Single Fam M01,Residential,1929,1920s
171,2030-106-00-0000,77 PARK RD,Single Fam M01,Residential,1929,1920s
172,2030-107-00-0000,81 PARK RD,Single Fam M01,Residential,1929,1920s
173,2030-108-00-0000,87 PARK RD,Single Fam M01,Residential,1929,1920s
175,2030-110-00-0000,91 PARK RD,Single Fam M01,Residential,1929,1920s
176,2030-111-00-0000,99 PARK RD,Single Fam M01,Residential,1964,1960s
177,2030-112-00-0000,105 PARK RD,Single Fam M01,Residential,1964,1960s
178,2030-113-00-0000,111 PARK RD,Single Fam M01,Residential,1964,1960s
179,2030-114-00-0000,119 PARK RD,Single Fam M01,Residential,1964,1960s
180,2030-115-00-0000,125 PARK RD,Single Fam M01,Residential,1952,1950s
181,2030-116-00-0000,133 PARK RD,Single Fam M01,Residential,1957,1950s
182,2030-117-00-0000,137 PARK RD,Single Fam M01,Residential,1954,1950s
183,2030-118-00-0000,143 PARK RD,Single Fam M01,Residential,1951,1950s
184,2030-121-00-0000,1804 STATE ST,Single Fam M01,Residential,1785,pre1900s
185,2030-122-00-0000,1802 STATE ST,Two Family M01,Residential,1935,1930s
186,2030-123-00-0000,1798 STATE ST,Single Fam M01,Residential,1935,1930s
187,2030-124-00-0000,1794 STATE ST,Single Fam M01,Residential,1933,1930s
188,2030-125-00-0000,1788 STATE ST,Single Fam M01,Residential,1950,1950s
189,2030-126-00-0000,1784 STATE ST,Single Fam M01,Residential,1935,1930s
190,2030-127-00-0000,1776 STATE ST,Three Fam M01,Residential,1935,1930s
191,2030-128-00-0000,1770 STATE ST,Three Fam M01,Residential,1935,1930s
193,2030-130-00-0000,1766 STATE ST,Single Fam M01,Residential,1906,1900s
194,2030-131-00-0000,1754 STATE ST,Single Fam M01,Residential,1925,1920s
195,2030-132-00-0000,155 PARK RD,Single Fam M01,Residential,1952,1950s
196,2030-133-00-0000,159 PARK RD,Single Fam M01,Residential,1951,1950s
197,2030-134-00-0000,163 PARK RD,Single Fam M01,Residential,1939,1930s
198,2030-135-00-0000,167 PARK RD,Single Fam M01,Residential,1970,1970s
199,2030-136-00-0000,173 PARK RD,Single Fam M01,Residential,1929,1920s
200,2030-137-00-0000,179 PARK RD,Single Fam M01,Residential,1929,1920s
201,2030-138-00-0000,185 PARK RD,Single Fam M01,Residential,1929,1920s
202,2030-140-00-0000,1912 STATE ST,MIXED USE M94,Residential,1850,pre1900s
203,2030-141-00-0000,1898 STATE ST,Single Fam M01,Residential,1909,1900s
204,2030-144-00-0000,1890 STATE ST,Single Fam M01,Residential,1913,1910s
207,2030-147-00-0000,1878 STATE ST,Single Fam M01,Residential,1927,1920s
208,2030-148-00-0000,1876 STATE ST,Three Fam M01,Residential,1975,1970s
209,2030-149-00-0000,1870 STATE ST,Two Family M01,Residential,1935,1930s
210,2030-150-00-0000,1856 STATE ST,Single Fam M01,Residential,1922,1920s
211,2030-151-00-0000,1850 STATE ST,Single Fam M01,Residential,1935,1930s
212,2030-152-00-0000,1869 STATE ST,Single Fam M01,Residential,1928,1920s
213,2030-153-00-0000,1873 STATE ST,Single Fam M01,Residential,1928,1920s
214,2030-154-00-0000,1879 STATE ST,Two Family M01,Residential,1928,1920s
215,2030-155-00-0000,1883 STATE ST,Two Family M01,Residential,1928,1920s
216,2030-156-00-0000,1887 STATE ST,Two Family M01,Residential,1905,1900s
217,2030-157-00-0000,1891 STATE ST,Single Fam M01,Residential,1920,1920s
218,2030-161-00-0000,100 WEBB ST,Single Fam M01,Residential,1915,1910s
219,2030-162-00-0000,94 WEBB ST,Single Fam M01,Residential,1915,1910s
220,2030-163-00-0000,90 WEBB ST,Single Fam M01,Residential,1915,1910s
221,2030-164-00-0000,86 WEBB ST,Single Fam M01,Residential,1895,pre1900s
222,2030-165-00-0000,82 WEBB ST,Single Fam M01,Residential,1895,pre1900s
223,2030-166-00-0000,18 COOK ST,Two Family M01,Residential,1921,1920s
224,2030-167-00-0000,16 COOK ST,Single Fam M01,Residential,1942,1940s
225,2030-168-00-0000,48 COOK ST,Three Fam M01,Residential,1910,1910s
226,2030-169-00-0000,83 WEBB ST,Single Fam M01,Residential,1930,1930s
227,2030-170-00-0000,87 WEBB ST,Single Fam M01,Residential,1915,1910s
228,2030-171-00-0000,89 WEBB ST,Single Fam M01,Residential,1915,1910s
229,2030-172-00-0000,93 WEBB ST,Single Fam M01,Residential,1915,1910s
230,2030-174-00-0000,111 WEBB ST,Single Fam M01,Residential,1930,1930s
233,2030-178-00-0000,19 PARK RD,Two Family M01,Residential,1985,1980s
234,2030-179-00-0000,5 PARK RD,Two Family M01,Residential,1985,1980s
235,2031-001-00-0000,1655 STATE ST,Three Fam M01,Residential,1925,1920s
236,2031-002-00-0000,1665 STATE ST,Three Fam M01,Residential,1925,1920s
237,2031-003-00-0000,1673 STATE ST,Multi Hses,Residential,1925,1920s
239,2031-004-00-0000,1677 STATE ST,Single Fam M01,Residential,1930,1930s
240,2031-005-00-0000,1681 STATE ST,Single Fam M01,Residential,1930,1930s
241,2031-006-00-0000,27 ARMSTRONG ST,Three Fam M01,Residential,1989,1980s
242,2031-007-00-0000,39 ARMSTRONG ST,Single Fam M01,Residential,1920,1920s
243,2031-009-00-0000,172 WELTON ST,Single Fam M01,Residential,1900,1900s
244,2031-010-00-0000,166 WELTON ST,Single Fam M01,Residential,1900,1900s
246,2031-016-00-0000,131 WELTON ST,Single Fam M01,Residential,1920,1920s
249,2031-021-00-0000,226 WELTON ST,Two Family M01,Residential,1970,1970s
250,2031-022-00-0000,222 WELTON ST,Two Family M01,Residential,1970,1970s
251,2031-023-00-0000,214 WELTON ST,Three Fam M01,Residential,1988,1980s
252,2031-024-00-0000,206 WELTON ST,Three Fam M01,Residential,1988,1980s
254,2123-003-00-0000,136 HIGH TOP CR,Three Fam M01,Residential,1970,1970s
255,2123-004-00-0000,158 HIGH TOP CR WEST,Single Fam M01,Residential,1979,1970s
256,2123-005-00-0000,170 HIGH TOP CR WEST,Single Fam M01,Residential,1979,1970s
257,2123-006-00-0000,176 HIGH TOP CR WEST,Single Fam M01,Residential,1979,1970s
258,2123-007-00-0000,182 HIGH TOP CR WEST,Single Fam M01,Residential,1979,1970s
259,2123-008-00-0000,188 HIGH TOP CR WEST,Single Fam M01,Residential,1979,1970s
260,2123-009-00-0000,194 HIGH TOP CR WEST,Single Fam M01,Residential,1979,1970s
261,2123-010-00-0000,200 HIGH TOP CR WEST,Single Fam M01,Residential,1979,1970s
262,2123-011-00-0000,206 HIGH TOP CR WEST,Single Fam M01,Residential,1979,1970s
263,2123-012-00-0000,220 HIGH TOP CR WEST,Single Fam M01,Residential,1979,1970s
264,2123-013-00-0000,69 HIGH TOP CR EAST,Single Fam M01,Residential,1978,1970s
265,2123-014-00-0000,63 HIGH TOP CR EAST,Single Fam M01,Residential,1978,1970s
266,2123-015-00-0000,59 HIGH TOP CR EAST,Single Fam M01,Residential,1980,1980s
267,2123-016-00-0000,53 HIGH TOP CR EAST,Single Fam M01,Residential,1980,1980s
268,2123-017-00-0000,47 HIGH TOP CR EAST,Single Fam M01,Residential,1978,1970s
269,2123-018-00-0000,41 HIGH TOP CR EAST,Single Fam M01,Residential,1978,1970s
270,2123-019-00-0000,35 HIGH TOP CR EAST,Single Fam M01,Residential,1978,1970s
271,2123-020-00-0000,29 HIGH TOP CR EAST,Single Fam M01,Residential,1978,1970s
272,2123-021-00-0000,23 HIGH TOP CR EAST,Single Fam M01,Residential,1978,1970s
273,2123-022-00-0000,15 HIGH TOP CR EAST,Single Fam M01,Residential,1978,1970s
274,2123-023-00-0000,9 HIGH TOP CR EAST,Single Fam M01,Residential,1978,1970s
275,2123-024-00-0000,128 HIGH TOP CR,Two Family M01,Residential,1969,1960s
276,2123-025-00-0000,68 MIDHILL DR,Single Fam M01,Residential,1980,1980s
277,2123-026-00-0000,51 MIDHILL DR,Single Fam M01,Residential,1980,1980s
278,2123-027-00-0000,39 MIDHILL DR,Single Fam M01,Residential,1980,1980s
279,2123-028-00-0000,31 MIDHILL DR,Single Fam M01,Residential,1980,1980s
280,2123-029-00-0000,21 MIDHILL DR,Single Fam M01,Residential,1980,1980s
281,2123-030-00-0000,11 MIDHILL DR,Single Fam M01,Residential,1980,1980s
282,2123-031-00-0000,7 MIDHILL DR,Single Fam M01,Residential,1980,1980s
283,2123-032-00-0000,92 HIGH TOP CR,Single Fam M01,Residential,1980,1980s
284,2123-033-00-0000,10 HIGH TOP CR EAST,Single Fam M01,Residential,1979,1970s
285,2123-034-00-0000,16 HIGH TOP CR EAST,Single Fam M01,Residential,1980,1980s
335,2123-037-00-0000,219 HIGH TOP CR WEST,Single Fam M01,Residential,1995,1990s
336,2123-037-01-0000,229 HIGH TOP CR WEST,Single Fam M01,Residential,1996,1990s
337,2123-037-02-0000,100 HIGH TOP CR EAST,Single Fam M01,Residential,1996,1990s
338,2123-038-00-0000,90 HIGH TOP CR EAST,Single Fam M01,Residential,1976,1970s
339,2123-039-00-0000,82 HIGH TOP CR EAST,Single Fam M01,Residential,1978,1970s
340,2123-040-00-0000,78 HIGH TOP CR EAST,Single Fam M01,Residential,1981,1980s
341,2123-042-00-0000,164 HIGH TOP CR WEST,Single Fam M01,Residential,1979,1970s
359,2124-006-00-0000,70 HIGH TOP CR,Single Fam M01,Residential,1980,1980s
360,2124-007-00-0000,8 MIDHILL DR,Single Fam M01,Residential,1980,1980s
361,2124-008-00-0000,14 MIDHILL DR,Single Fam M01,Residential,1980,1980s
362,2124-009-00-0000,20 MIDHILL DR,Single Fam M01,Residential,1980,1980s
363,2124-010-00-0000,26 MIDHILL DR,Single Fam M01,Residential,1980,1980s
364,2124-011-00-0000,32 MIDHILL DR,Single Fam M01,Residential,1980,1980s
365,2124-012-00-0000,38 MIDHILL DR,Single Fam M01,Residential,1980,1980s
366,2124-013-00-0000,44 MIDHILL DR,Single Fam M01,Residential,1980,1980s
367,2124-014-00-0000,52 MIDHILL DR,Single Fam M01,Residential,1981,1980s
368,2124-015-00-0000,58 MIDHILL DR,Single Fam M01,Residential,1980,1980s
369,2124-016-00-0000,62 MIDHILL DR,Single Fam M01,Residential,1980,1980s
370,2124-017-00-0000,95 FAIRVIEW AVE,Single Fam M01,Residential,1930,1930s
371,2124-018-00-0000,89 FAIRVIEW AVE,Single Fam M01,Residential,1955,1950s
375,2124-028-00-0000,175 ARCH ST,Single Fam M01,Residential,1890,pre1900s
376,2124-032-00-0000,42 FAIRVIEW AVE,Single Fam M01,Residential,1840,pre1900s
479,2124-041-00-0000,641 FITCH ST,Single Fam M01,Residential,1932,1930s
480,2125-001-00-0000,83 FAIRVIEW AVE,Single Fam M01,Residential,1955,1950s
481,2125-004-00-0000,55 FAIRVIEW AVE,Single Fam M01,Residential,1955,1950s
482,2125-005-00-0000,51 FAIRVIEW AVE,Two Family M01,Residential,1955,1950s
483,2125-006-00-0000,45 FAIRVIEW AVE,Single Fam M01,Residential,1955,1950s
512,2125-009-00-0000,4 WARNER ST,Two Family M01,Residential,1960,1960s
513,2125-010-00-0000,133 CHERRY ANN ST,Single Fam M01,Residential,1950,1950s
515,2125-012-00-0000,15 FAIRVIEW AVE,Two Family M01,Residential,1950,1950s
516,2125-013-00-0000,21 FAIRVIEW AVE,Single Fam M01,Residential,1955,1950s
517,2125-014-00-0000,27 FAIRVIEW AVE,Single Fam M01,Residential,1955,1950s
518,2125-015-00-0000,35 FAIRVIEW AVE,Single Fam M01,Residential,1950,1950s
519,2125-016-00-0000,39 FAIRVIEW AVE,Single Fam M01,Residential,1954,1950s
588,2125-019-00-0000,102 NORTH ST,Two Family M01,Residential,1962,1960s
589,2125-020-00-0000,98 NORTH ST,Two Family M01,Residential,1962,1960s
590,2125-021-00-0000,109 BURKE ST,Single Fam M01,Residential,1890,pre1900s
591,2125-022-00-0000,105 BURKE ST,Two Family M01,Residential,1965,1960s
592,2125-023-00-0000,99 BURKE ST,Single Fam M01,Residential,1950,1950s
593,2125-024-00-0000,95 BURKE ST,SFR In-Law,Residential,1958,1950s
594,2125-025-00-0000,91 BURKE ST,Single Fam M01,Residential,1950,1950s
595,2125-026-00-0000,85 BURKE ST,Single Fam M01,Residential,1958,1950s
596,2125-027-00-0000,83 BURKE ST,Single Fam M01,Residential,1951,1950s
597,2125-028-00-0000,79 BURKE ST,Single Fam M01,Residential,1955,1950s
598,2125-029-00-0000,76 DIX ST,Two Family M01,Residential,1940,1940s
599,2125-030-00-0000,88 DIX ST,Three Fam M01,Residential,1950,1950s
600,2125-031-00-0000,92 DIX ST,Two Family M01,Residential,1940,1940s
601,2125-032-00-0000,98 DIX ST,Two Family M01,Residential,1967,1960s
602,2125-033-00-0000,104 DIX ST,Single Fam M01,Residential,1940,1940s
603,2125-034-00-0000,110 DIX ST,Three Fam M01,Residential,1980,1980s
604,2125-035-00-0000,90 NORTH ST,Two Family M01,Residential,1890,pre1900s
605,2125-036-00-0000,80 NORTH ST,Single Fam M01,Residential,1953,1950s
606,2125-037-00-0000,74 NORTH ST,Single Fam M01,Residential,1890,pre1900s
607,2125-038-00-0000,107 DIX ST,Two Family M01,Residential,1930,1930s
608,2125-039-00-0000,103 DIX ST,Three Fam M01,Residential,1930,1930s
609,2125-040-00-0000,68 NORTH ST,Single Fam M01,Residential,1890,pre1900s
610,2125-041-00-0000,64 NORTH ST,Single Fam M01,Residential,1955,1950s
611,2125-042-00-0000,60 NORTH ST,Single Fam M01,Residential,1890,pre1900s
612,2125-044-00-0000,46 NORTH ST,Single Fam M01,Residential,1959,1950s
613,2125-045-00-0000,40 NORTH ST,Single Fam M01,Residential,1940,1940s
614,2125-046-00-0000,36 NORTH ST,Two Family M01,Residential,1968,1960s
615,2125-047-00-0000,34 NORTH ST,Three Fam M01,Residential,1940,1940s
616,2125-048-00-0000,30 NORTH ST,Single Fam M01,Residential,1940,1940s
617,2125-049-00-0000,26 NORTH ST,Single Fam M01,Residential,1940,1940s
618,2125-051-00-0000,19 WHITING ST,Single Fam M01,Residential,1925,1920s
619,2125-052-00-0000,23 WHITING ST,Single Fam M01,Residential,1920,1920s
620,2125-053-00-0000,27 WHITING ST,Two Family M01,Residential,1920,1920s
621,2125-054-00-0000,31 WHITING ST,Single Fam M01,Residential,1940,1940s
622,2125-055-00-0000,35 WHITING ST,Single Fam M01,Residential,1920,1920s
623,2125-056-00-0000,39 WHITING ST,Single Fam M01,Residential,1938,1930s
624,2125-057-00-0000,43 WHITING ST,Two Family M01,Residential,1920,1920s
625,2125-059-00-0000,55 WHITING ST,Two Family M01,Residential,1917,1910s
626,2125-060-00-0000,59 WHITING ST,Single Fam M01,Residential,1920,1920s
627,2125-061-00-0000,63 WHITING ST,Two Family M01,Residential,1920,1920s
628,2125-062-00-0000,69 WHITING ST,Single Fam M01,Residential,1925,1920s
629,2125-064-00-0000,120 BURKE ST,Two Family M01,Residential,1900,1900s
630,2125-065-00-0000,116 BURKE ST,Single Fam M01,Residential,1940,1940s
631,2125-066-00-0000,110 BURKE ST,Two Family M01,Residential,1950,1950s
632,2125-067-00-0000,106 BURKE ST,Two Family M01,Residential,1968,1960s
633,2125-068-00-0000,98 BURKE ST,Three Fam M01,Residential,1930,1930s
634,2125-069-00-0000,11 MOTT ST,Single Fam M01,Residential,1958,1950s
635,2125-070-00-0000,17 MOTT ST,Single Fam M01,Residential,1953,1950s
636,2125-071-00-0000,23 MOTT ST,Single Fam M01,Residential,1947,1940s
637,2125-072-00-0000,29 MOTT ST,Single Fam M01,Residential,1940,1940s
638,2125-073-00-0000,109 FAIRVIEW AVE,Single Fam M01,Residential,1941,1940s
639,2125-074-00-0000,45 MOTT ST,Single Fam M01,Residential,1950,1950s
640,2125-075-00-0000,39 MOTT ST,Single Fam M01,Residential,1958,1950s
641,2125-076-00-0000,164 NORTH ST,Single Fam M01,Residential,1958,1950s
642,2125-077-00-0000,162 NORTH ST,Single Fam M01,Residential,1947,1940s
643,2125-078-00-0000,154 NORTH ST,Two Family M01,Residential,1927,1920s
644,2125-079-00-0000,148 NORTH ST,Single Fam M01,Residential,1951,1950s
645,2125-080-00-0000,142 NORTH ST,Single Fam M01,Residential,1951,1950s
646,2125-081-00-0000,138 NORTH ST,Single Fam M01,Residential,1939,1930s
647,2125-082-00-0000,132 NORTH ST,Two Family M01,Residential,1950,1950s
648,2125-083-00-0000,128 NORTH ST,Single Fam M01,Residential,1937,1930s
649,2125-084-00-0000,124 NORTH ST,Single Fam M01,Residential,1930,1930s
650,2125-085-00-0000,56 FIRST ST,Single Fam M01,Residential,1950,1950s
651,2125-086-00-0000,48 FIRST ST,Three Fam M01,Residential,1930,1930s
652,2125-087-00-0000,36 FIRST ST,Two Family M01,Residential,1931,1930s
653,2125-088-00-0000,30 FIRST ST,Three Fam M01,Residential,1920,1920s
654,2125-089-00-0000,24 FIRST ST,Single Fam M01,Residential,1960,1960s
655,2125-090-00-0000,20 FIRST ST,Two Family M01,Residential,1930,1930s
656,2125-091-00-0000,65 NORTH ST,Single Fam M01,Residential,1920,1920s
657,2125-092-00-0000,57 NORTH ST,Two Family M01,Residential,1930,1930s
658,2125-093-00-0000,53 NORTH ST,Two Family M01,Residential,1920,1920s
659,2125-094-00-0000,47 NORTH ST,Three Fam M01,Residential,1930,1930s
660,2125-095-00-0000,43 NORTH ST,Three Fam M01,Residential,1930,1930s
661,2125-096-00-0000,39 NORTH ST,Two Family M01,Residential,1930,1930s
662,2125-097-00-0000,33 NORTH ST,Single Fam M01,Residential,1957,1950s
663,2125-098-00-0000,29 NORTH ST,Single Fam M01,Residential,1957,1950s
664,2125-099-00-0000,23 NORTH ST,Three Fam M01,Residential,1950,1950s
665,2125-100-00-0000,19 NORTH ST,Single Fam M01,Residential,1900,1900s
666,2125-101-00-0000,1048 DIXWELL AVE,Three Fam M01,Residential,1925,1920s
667,2125-102-00-0000,1052 DIXWELL AVE,MIXED USE M96,Mixed Use,1954,1950s
668,2125-104-00-0000,93 DIX ST,Single Fam M01,Residential,1930,1930s
669,2125-105-00-0000,87 DIX ST,Single Fam M01,Residential,1950,1950s
670,2125-106-00-0000,75 GEORGE ST,Two Family M01,Residential,1950,1950s
671,2125-107-00-0000,68 WHITING ST,Single Fam M01,Residential,1920,1920s
672,2125-108-00-0000,64 WHITING ST,Single Fam M01,Residential,1945,1940s
673,2125-109-00-0000,58 WHITING ST,Two Family M01,Residential,1930,1930s
674,2125-110-00-0000,56 WHITING ST,Single Fam M01,Residential,2000,2000s
675,2125-111-00-0000,54 WHITING ST,Two Family M01,Residential,1920,1920s
676,2125-112-00-0000,50 WHITING ST,Two Family M01,Residential,1954,1950s
677,2125-113-00-0000,46 WHITING ST,Two Family M01,Residential,1955,1950s
678,2125-114-00-0000,44 WHITING ST,Single Fam M01,Residential,1954,1950s
679,2125-115-00-0000,40 WHITING ST,Three Fam M01,Residential,1940,1940s
680,2125-116-00-0000,32 WHITING ST,Single Fam M01,Residential,1930,1930s
681,2125-119-00-0000,1002 DIXWELL AVE,Three Fam M01,Residential,1925,1920s
682,2125-122-00-0000,29 GEORGE ST,Two Family M01,Residential,1955,1950s
683,2125-123-00-0000,33 GEORGE ST,Two Family M01,Residential,1962,1960s
684,2125-124-00-0000,37 GEORGE ST,Three Fam M01,Residential,1920,1920s
685,2125-125-00-0000,43 GEORGE ST,Two Family M01,Residential,1920,1920s
686,2125-126-00-0000,51 GEORGE ST,Two Family M01,Residential,1911,1910s
687,2125-127-00-0000,55 GEORGE ST,Three Fam M01,Residential,1965,1960s
688,2125-128-00-0000,63 GEORGE ST,Single Fam M01,Residential,1950,1950s
